Код	Раздел	Ключ	Тип	Формат	"Мин. ширина
или
точность"	Макс. ширина	Обязательность	Многостраничность	Многострочность	Условие включения	Значение по умолчанию	Представление
ИдФайл			А	T	1	255	О				&ИдФайл	Идентификатор файла
ВерсПрог			А	T	1	40	О				&ВерсПрог	Версия программы, с помощью которой сформирован файл
ВерсФорм			А	T	1	5	О				5.01	Версия формата
Документ			С				О					Состав и структура документа
КНД			А	T	7	7	О				1151099	Код формы документа по КНД
ДатаДок			А	T	10	10	О				&ДатаДок	Дата формирования документа
Период			А	T	2	2	О				&Период	Период представления (код)
ОтчетГод			А	T	4	4	О				&ОтчетГод	Налоговый период (год)
КодНО			А	T	4	4	О				&КодНО	Код налогового органа
НомКорр			А	N		3	О				&НомКорр	Номер корректировки
ПоМесту			А	T	3	3	О				&ПоМесту	Код места, по которому представляется документ
СвНП			С				О					Сведения о налоговом агенте
ОКТМО			А	T	8	11	О				&ОКТМО	Код по ОКТМО
Тлф			А	T	1	20	Н				&Тлф	Номер контактного телефона
НПЮЛ			С				О			НЕ &ЭтоПБОЮЛ		Налоговый агент - организация
НаимОрг			А	T	1	1000	О				&НаимОрг	Наименование организации
ИННЮЛ			А	T	10	10	О				&ИННОрг	ИНН организации
КПП			А	T	9	9	О				&КППОрг	КПП
НПФЛ			С				О			&ЭтоПБОЮЛ		Налоговый агент - физическое лицо
ИННФЛ			А	T	12	12	О				&ИННФЛ	ИНН физического лица
ФИО			С				О					Фамилия, имя, отчество физического лица
Фамилия			А	T	1	60	О				&ФЛФамилия	Фамилия
Имя			А	T	1	60	О				&ФЛИмя	Имя
Отчество			А	T	1	60	Н				&ФЛОтчество	Отчество
Подписант			С				О					Сведения о лице, подписавшем документ
ПрПодп			А	T	1	1	О				&ПрПодп	Признак лица, подписавшего документ
ФИО			С				Н					Фамилия, имя, отчество
Фамилия			А	T	1	60	О				&ПодпФамилия	Фамилия
Имя			А	T	1	60	О				&ПодпИмя	Имя
Отчество			А	T	1	60	Н				&ПодпОтчество	Отчество
СвПред			С				Н					Сведения о представителе налогового агента
НаимДок			А	T	1	120	О				&ПодпНаимДок	Наименование документа, подтверждающего полномочия представителя
НаимОрг			А	T	1	1000	Н				&ПодпНаимОрг	Наименование организации - представителя налогового агента
НДФЛ6			С				О					Расчет сумм налога на доходы физических лиц, исчисленных и удержанных налоговым агентом (форма 6-НДФЛ)
ОбобщПоказ	Раздел1		С				О					Обобщенные показатели
КолФЛДоход	Раздел1	П000010006001	А	N		7	О					Количество физических лиц, получивших доход
УдержНалИт	Раздел1	П000010007001	А	N		15	О					Сумма удержанного налога, итого по всем ставкам
НеУдержНалИт	Раздел1	П000010008001	А	N		15	О					Сумма налога, не удержанная налоговым агентом, итого по всем ставкам
ВозврНалИт	Раздел1	П000010009001	А	N		15	О					Сумма налога, возвращенная налоговым агентом, итого по всем ставкам
СумСтавка	Раздел1		С				ОМ					Сведения по суммам в зависимости от ставки налога
Ставка	Раздел1		А	N		2	О					Ставка налога
НачислДох	Раздел1		А	N	2	17	О					Сумма начисленного дохода
НачислДохДив	Раздел1		А	N	2	17	О					В том числе сумма начисленного дохода в виде дивидендов
ВычетНал	Раздел1		А	N	2	17	О					Сумма налоговых вычетов
ИсчислНал	Раздел1		А	N		15	О					Сумма исчисленного налога
ИсчислНалДив	Раздел1		А	N		15	О					В том числе сумма исчисленного налога на дохода в виде дивидендов
АвансПлат	Раздел1		А	N		15	О					Сумма фиксированного авансового платежа
ДохНал	Раздел2		С				Н					Даты и суммы фактически полученных доходов и удержанного налога на доходы физических лиц
СумДата	Раздел2		С				ОМ					Сведения по суммам в зависимости от даты
ДатаФактДох	Раздел2		А	T	10	10	О					Дата фактического получения дохода
ДатаУдержНал	Раздел2		А	T	10	10	О					Дата удержания налога
СрокПрчслНал	Раздел2		А	T	10	10	О					Срок перечисления налога
ФактДоход	Раздел2		А	N	2	17	О					Сумма фактически полученного дохода
УдержНал	Раздел2		А	N		15	О					Сумма удержанного налога
